org,district,name,short_name,cfa_grp_name
CFA,13,Yarra Glen,YAGL,Maroondah
CFA,13,Yarra Junction,YAJU,Yarra Valley
CFA,13,Yellingbo,YELL,Yarra Valley
CFA,13,The Basin,THEB,Knox
CFA,13,Warrandyte,WARR,Maroondah
CFA,13,Rowville,ROWV,Knox
CFA,13,Mooroolbark,MBRK,Maroondah
CFA,13,Reefton,REEF,Yarra Valley
CFA,14,Arthurs Creek,ARTH,Whittlesea/D.Valley
CFA,14,Caroline Springs,CARO,Mount Cottrell
CFA,14,Christmas Hills,CHRI,Nillumbik
CFA,14,Diamond Creek,DIAM,Whittlesea/D.Valley
CFA,14,Diggers Rest,DIGG,Mount Cottrell
CFA,14,Doreen,DORE,Whittlesea/D.Valley
CFA,14,Eltham,EHAM,Nillumbik
CFA,14,Eynesbury,EYNE,Mount Cottrell
CFA,14,Hurstbridge,HURS,Nillumbik
CFA,14,Kalkallo,KAKA,Hume
CFA,14,Kangaroo Ground,KANG,Nillumbik
CFA,14,Melton,MTON,Mount Cottrell
CFA,14,North Warrandyte,WANT,Nillumbik
CFA,14,Panton Hill,PANT,Nillumbik
CFA,14,Point Cook,PTCO,Mount Cottrell
CFA,14,Research,RESE,Nillumbik
CFA,14,Rockbank,ROCK,Mount Cottrell
CFA,14,South Morang,STHM,Whittlesea/D.Valley
CFA,14,St Andrews,STAN,Nillumbik
CFA,14,Sunbury,SNBY,Hume
CFA,14,Toolern Vale,TOOL,Mount Cottrell
